Denominación del servicio público que se brinda;Enlace para acceder al reporte del trámite;Número de personas que acceden mensualmente al servicio institucional;Enlace para descargar el formulario o formato del servicio-Correo electronico para solicitar el servicio;Enlace para el servicio por internet en línea;Porcentaje de satisfaccion sobre el uso del servicio
Préstamo de libros para uso interno (en salas);https://catalogo.espe.edu.ec/CatalogoSIBESPE;69;https://catalogo.espe.edu.ec/CatalogoSIBESPE;https://catalogo.espe.edu.ec/CatalogoSIBESPE;NO DISPONIBLE
Préstamo Externo de Libros;https://catalogo.espe.edu.ec/CatalogoSIBESPE;22;https://catalogo.espe.edu.ec/CatalogoSIBESPE;https://catalogo.espe.edu.ec/CatalogoSIBESPE;92
Acceso a bases de datos científicas;https://biblioteca.espe.edu.ec/base-de-datos-cientificas/;8066;https://biblioteca.espe.edu.ec/base-de-datos-cientificas/;https://biblioteca.espe.edu.ec/base-de-datos-cientificas/;92
Préstamo de trabajos de titulación;https://repositorio.espe.edu.ec/;0;https://repositorio.espe.edu.ec/;https://repositorio.espe.edu.ec/;NO DISPONIBLE
Préstamo de Computadores;NO DISPONIBLE;0;Acercarse al Area de Internet;NO DISPONIBLE;NO DISPONIBLE
Préstamos del Auditorio;NO DISPONIBLE;2;"Verificar la disponibilidad
Realizar la solicitud mediante memorando";NO DISPONIBLE;92
Préstamos de la Sala de Conferencias;NO DISPONIBLE;1;"Verificar la disponibilidad
 Realizar la solicitud mediante memorando";NO DISPONIBLE;92
Préstamos de las Salas de Estudios;NO DISPONIBLE;263;Acercarse a la ventanilla de Circulación y Préstamos;NO DISPONIBLE;92
Conversión de libros;NO DISPONIBLE;6;Dirigirse al área y solicitar el servicio;NO DISPONIBLE;92
Inducción en herramientas tifloinformáticas;NO DISPONIBLE;3;Dirigirse al área y solicitar el servicio;NO DISPONIBLE;92
