Nivel superior;Unidad;Nivel de los Procesos de la Estructura Organica Funcional
Consejo Politécnico;Comisión de Gestión de la Calidad y Evaluación Interna;Órgano de Gobierno
Consejo de Docencia;;Órgano de Gobierno
Consejo de Investigación, Innovación y Vinculación;;Órgano de Gobierno
Consejos de Facultad;;Órgano de Gobierno
Consejos de Instituto;;Órgano de Gobierno
Consejos de Departamento;;Órgano de Gobierno
Consejo Directivo de la Escuela de Formación de Tecnólogos;;Órgano de Gobierno
Rectorado;;Procesos gobernantes
Rectorado;Dirección de Auditoría Interna;"Procesos adjetivos

"
Rectorado;Dirección de Asesoría Jurídica;"Procesos adjetivos

"
Rectorado;Dirección de Planificación;"Procesos adjetivos

"
Rectorado;Dirección de Relaciones Institucionales;"Procesos adjetivos

"
Rectorado;Dirección de Comunicación;"Procesos adjetivos

"
Rectorado;Dirección de Secretaría General;"Procesos adjetivos

"
Rectorado;Dirección Administrativa;"Procesos adjetivos

"
Rectorado;Dirección Financiera;"Procesos adjetivos

"
Rectorado;Dirección de Talento Humano;"Procesos adjetivos

"
Rectorado;Dirección de la Información y Procesos;"Procesos adjetivos

"
Vicerrectorado de Docencia;Dirección de Docencia;Procesos sustantivos
Vicerrectorado de Docencia;Dirección de Bienestar Politécnico;Procesos sustantivos
Vicerrectorado de Docencia;Dirección de Admisión y Registro;Procesos sustantivos
Facultades;Departamentos;Procesos sustantivos
Departamentos No Adscritos a Facultad;Departamento de Formación Básica ;Procesos sustantivos
Departamentos No Adscritos a Facultad;Departamento de Ciencias Sociales;Procesos sustantivos
Formación de Tecnólogos;Escuela de Formación de Tecnólogos;Procesos sustantivos
Vicerrectorado de Investigación, Innovación y Vinculación;Dirección de Investigación;Procesos sustantivos
Vicerrectorado de Investigación, Innovación y Vinculación;Dirección de Posgrados;Procesos sustantivos
Vicerrectorado de Investigación, Innovación y Vinculación;Dirección de Innovación y Vinculación;Procesos sustantivos
Vicerrectorado de Investigación, Innovación y Vinculación;Laboratorio Institucional de Análisis de Vehículos y Movilidad Sostenible;Procesos sustantivos
Centros y Laboratorios Interinstitucionales;Centro de Modelización Matemática en áreas clave para el desarrollo;Procesos sustantivos
Observatorio Astronómico de Quito;Observatorio Astronómico de Quito;Procesos sustantivos
;Centro de Educación Continua;Gestión desconcentrada
Instituto de Investigación Multidisciplinarios;Instituto de Investigación Multidisciplinarios Instituto Geofísico de la Escuela Politécnica Nacional;Gestión desconcentrada
Vicerrectorado de Investigación, Innovación y Vinculación;Unidad de Investigación y Proyección Social;Gestión desconcentrada
